evidence_id,governance_id,error_id,source_type,source_name,matched_fields,relevance_level,confidence_level,evidence_summary,supports,limitations,conflict_flag,created_time
tracking_ERR_001,GOV_20260519_175320_087b59,GOV_20260519_175320_087b59,埋点,报错输入统计,error_count,强相关,高,统计期内报错 5000 次,error_scale;priority_scoring,仅含报错次数，缺旅程指标和任务完成数据,False,2026-05-19T17:53:20.850560
tracking_ERR_002,GOV_20260519_175320_086abf,GOV_20260519_175320_086abf,埋点,报错输入统计,error_count,强相关,高,统计期内报错 968 次,error_scale;priority_scoring,仅含报错次数，缺旅程指标和任务完成数据,False,2026-05-19T17:53:20.856715
tracking_ERR_003,GOV_20260519_175320_8ce944,GOV_20260519_175320_8ce944,埋点,报错输入统计,error_count,强相关,高,统计期内报错 8061 次,error_scale;priority_scoring,仅含报错次数，缺旅程指标和任务完成数据,False,2026-05-19T17:53:20.861427
tracking_ERR_004,GOV_20260519_175320_497264,GOV_20260519_175320_497264,埋点,报错输入统计,error_count,强相关,高,统计期内报错 1097 次,error_scale;priority_scoring,仅含报错次数，缺旅程指标和任务完成数据,False,2026-05-19T17:53:20.867087
tracking_ERR_005,GOV_20260519_175320_269895,GOV_20260519_175320_269895,埋点,报错输入统计,error_count,强相关,高,统计期内报错 131 次,error_scale;priority_scoring,仅含报错次数，缺旅程指标和任务完成数据,False,2026-05-19T17:53:20.874187
tracking_ERR_001,GOV_20260519_193510_0d4830,GOV_20260519_193510_0d4830,埋点,报错输入统计,error_count,强相关,高,统计期内报错 5000 次,error_scale;priority_scoring,仅含报错次数，缺旅程指标和任务完成数据,False,2026-05-19T19:35:10.388910
tracking_ERR_002,GOV_20260519_193510_d58829,GOV_20260519_193510_d58829,埋点,报错输入统计,error_count,强相关,高,统计期内报错 968 次,error_scale;priority_scoring,仅含报错次数，缺旅程指标和任务完成数据,False,2026-05-19T19:35:10.394557
tracking_ERR_003,GOV_20260519_193510_404825,GOV_20260519_193510_404825,埋点,报错输入统计,error_count,强相关,高,统计期内报错 8061 次,error_scale;priority_scoring,仅含报错次数，缺旅程指标和任务完成数据,False,2026-05-19T19:35:10.399355
tracking_ERR_004,GOV_20260519_193510_1e0135,GOV_20260519_193510_1e0135,埋点,报错输入统计,error_count,强相关,高,统计期内报错 1097 次,error_scale;priority_scoring,仅含报错次数，缺旅程指标和任务完成数据,False,2026-05-19T19:35:10.405288
tracking_ERR_005,GOV_20260519_193510_1f8ece,GOV_20260519_193510_1f8ece,埋点,报错输入统计,error_count,强相关,高,统计期内报错 131 次,error_scale;priority_scoring,仅含报错次数，缺旅程指标和任务完成数据,False,2026-05-19T19:35:10.414641
tracking_ERR_001,GOV_20260519_194502_0c56ea,GOV_20260519_194502_0c56ea,埋点,报错输入统计,error_count,强相关,高,统计期内报错 5000 次,error_scale;priority_scoring,仅含报错次数，缺旅程指标和任务完成数据,False,2026-05-19T19:45:02.689511
tracking_ERR_002,GOV_20260519_194502_599f9e,GOV_20260519_194502_599f9e,埋点,报错输入统计,error_count,强相关,高,统计期内报错 968 次,error_scale;priority_scoring,仅含报错次数，缺旅程指标和任务完成数据,False,2026-05-19T19:45:02.695915
tracking_ERR_003,GOV_20260519_194502_250f03,GOV_20260519_194502_250f03,埋点,报错输入统计,error_count,强相关,高,统计期内报错 8061 次,error_scale;priority_scoring,仅含报错次数，缺旅程指标和任务完成数据,False,2026-05-19T19:45:02.700723
tracking_ERR_004,GOV_20260519_194502_9929f0,GOV_20260519_194502_9929f0,埋点,报错输入统计,error_count,强相关,高,统计期内报错 1097 次,error_scale;priority_scoring,仅含报错次数，缺旅程指标和任务完成数据,False,2026-05-19T19:45:02.705384
tracking_ERR_005,GOV_20260519_194502_0473e4,GOV_20260519_194502_0473e4,埋点,报错输入统计,error_count,强相关,高,统计期内报错 131 次,error_scale;priority_scoring,仅含报错次数，缺旅程指标和任务完成数据,False,2026-05-19T19:45:02.709685
tracking_ERR_006,GOV_20260519_203822_2f4e61,GOV_20260519_203822_2f4e61,埋点,报错输入统计,error_count,强相关,高,统计期内报错 4963 次,error_scale;priority_scoring,仅含报错次数，缺旅程指标和任务完成数据,False,2026-05-19T20:38:22.484299
