error_id,error_code,error_message,current_status,diagnosis_report_path,review_card_path,evidence_total_count,evidence_sufficiency_status,evidence_conflict_flag,human_review_result,human_review_comment,reviewer,review_time
GOV_20260519_175320_087b59,ERR_001,您没有【查询员工的档案信息】的操作权限请联系超级管理员分配权限,待人工复核,artifacts/diagnosis_reports/GOV_20260519_175320_087b59_report.md,artifacts/review_cards/GOV_20260519_175320_087b59_review_card.md,1,充足,False,,,,
GOV_20260519_175320_086abf,ERR_002,提交数据有误请检查：成员id不能为空,待人工复核,artifacts/diagnosis_reports/GOV_20260519_175320_086abf_report.md,artifacts/review_cards/GOV_20260519_175320_086abf_review_card.md,1,充足,False,,,,
GOV_20260519_175320_8ce944,ERR_003,Network Error,待人工复核,artifacts/diagnosis_reports/GOV_20260519_175320_8ce944_report.md,artifacts/review_cards/GOV_20260519_175320_8ce944_review_card.md,1,充足,False,,,,
GOV_20260519_175320_497264,ERR_004,账套不存在请检查,待人工复核,artifacts/diagnosis_reports/GOV_20260519_175320_497264_report.md,artifacts/review_cards/GOV_20260519_175320_497264_review_card.md,1,充足,False,,,,
GOV_20260519_175320_269895,ERR_005,当前期间已结账公式不允许修改,待人工复核,artifacts/diagnosis_reports/GOV_20260519_175320_269895_report.md,artifacts/review_cards/GOV_20260519_175320_269895_review_card.md,1,充足,False,,,,
GOV_20260519_193510_0d4830,ERR_001,您没有【查询员工的档案信息】的操作权限请联系超级管理员分配权限,待人工复核,artifacts/diagnosis_reports/GOV_20260519_193510_0d4830_report.md,artifacts/review_cards/GOV_20260519_193510_0d4830_review_card.md,1,充足,False,,,,
GOV_20260519_193510_d58829,ERR_002,提交数据有误请检查：成员id不能为空,待人工复核,artifacts/diagnosis_reports/GOV_20260519_193510_d58829_report.md,artifacts/review_cards/GOV_20260519_193510_d58829_review_card.md,1,充足,False,,,,
GOV_20260519_193510_404825,ERR_003,Network Error,待人工复核,artifacts/diagnosis_reports/GOV_20260519_193510_404825_report.md,artifacts/review_cards/GOV_20260519_193510_404825_review_card.md,1,充足,False,,,,
GOV_20260519_193510_1e0135,ERR_004,账套不存在请检查,待人工复核,artifacts/diagnosis_reports/GOV_20260519_193510_1e0135_report.md,artifacts/review_cards/GOV_20260519_193510_1e0135_review_card.md,1,充足,False,,,,
GOV_20260519_193510_1f8ece,ERR_005,当前期间已结账公式不允许修改,待人工复核,artifacts/diagnosis_reports/GOV_20260519_193510_1f8ece_report.md,artifacts/review_cards/GOV_20260519_193510_1f8ece_review_card.md,1,充足,False,,,,
GOV_20260519_194502_0c56ea,ERR_001,您没有【查询员工的档案信息】的操作权限请联系超级管理员分配权限,待人工复核,artifacts/diagnosis_reports/GOV_20260519_194502_0c56ea_report.md,artifacts/review_cards/GOV_20260519_194502_0c56ea_review_card.md,1,充足,False,,,,
GOV_20260519_194502_599f9e,ERR_002,提交数据有误请检查：成员id不能为空,待人工复核,artifacts/diagnosis_reports/GOV_20260519_194502_599f9e_report.md,artifacts/review_cards/GOV_20260519_194502_599f9e_review_card.md,1,充足,False,,,,
GOV_20260519_194502_250f03,ERR_003,Network Error,待人工复核,artifacts/diagnosis_reports/GOV_20260519_194502_250f03_report.md,artifacts/review_cards/GOV_20260519_194502_250f03_review_card.md,1,充足,False,,,,
GOV_20260519_194502_9929f0,ERR_004,账套不存在请检查,待人工复核,artifacts/diagnosis_reports/GOV_20260519_194502_9929f0_report.md,artifacts/review_cards/GOV_20260519_194502_9929f0_review_card.md,1,充足,False,,,,
GOV_20260519_194502_0473e4,ERR_005,当前期间已结账公式不允许修改,待人工复核,artifacts/diagnosis_reports/GOV_20260519_194502_0473e4_report.md,artifacts/review_cards/GOV_20260519_194502_0473e4_review_card.md,1,充足,False,,,,
GOV_20260519_203822_2f4e61,ERR_006,付款密码错误，剩余可尝试4次，可尝试次数用完后，该资金用户将被冻结,人工复核完成,artifacts/diagnosis_reports/GOV_20260519_203822_2f4e61_report.md,artifacts/review_cards/GOV_20260519_203822_2f4e61_review_card.md,1,充足,False,评估基本准确，需调整建议,"证据: 证据基本充分，但需补充说明 | 可复现: 是 | 需优化: 是 | 备注: 1. 分类纠正：业务状态类/已冻结 → 权限/安全验证类/密码校验失败；2. 形式评估纠正：弹窗阻断 → 应改为输入框下行内红字提示（inline）；3. 时机评估纠正：密码提交时触发合理，无需前置；4. 文案评估纠正：文案质量较高（告知原因+剩余次数+冻结后果），仅缺""忘记密码？""操作出口 | 路径调整: C.前端交互改造 | 优先级调整: P1 | 下一步: 弹窗改为行内红字提示（inline validation），补充忘记密码/联系管理员操作出口",,2026-05-19T20:57:27.987855
